id,incident_title,incident_description,incident_date,location_id,location_name,latitude,longitude,country_id,category_id,category_title,building,landmark,area,city,state,country
1234,Commenting,"in bus from satya niketan to a anand vihar","06-11-2013 13:16",1595,"In buses",20.429047,80.149403,105,2,Commenting,,441217,,"Dongar Tamasi",Maharashtra,India
1235,Commenting,"i was with my friends wet in the rain and some boys commented on us","06-11-2013 13:18",1596,"munrika road",20.429047,80.149403,105,"1 | 2 | 6","Catcalls/Whistles | Commenting | Ogling/Facial Expressions/Staring",,441217,,"Dongar Tamasi",Maharashtra,India
1236,Touching,"inside college premises mental harassement.","06-11-2013 13:21",1597,college,20.429047,80.149403,105,8,"Touching /Groping",,441217,,"Dongar Tamasi",Maharashtra,India
1237,Commenting,"on evening,in that area ,lot of drunker were around ,passing comments to passers.","06-11-2013 13:25",1598,"nelson mandela road",20.429047,80.149403,105,"2 | 17","Commenting | Chain Snatching / Robbery",,441217,,"Dongar Tamasi",Maharashtra,India
1238,"Ogling/facial expression","donot fall under defination criteria ,under the law of appropriate for future professional growth","06-11-2013 13:28",1599,"Court /office",20.429047,80.149403,105,"3 | 6 | 15","Taking pictures | Ogling/Facial Expressions/Staring | Others",,441217,,"Dongar Tamasi",Maharashtra,India
1239,"Sexual invites","at night ,,what everytime happens there,,,,highly unsafe at night","06-11-2013 13:32",1600,"rajokri bus stop",20.429047,80.149403,105,10,"Sexual Invites",,441217,,"Dongar Tamasi",Maharashtra,India
1240,Commenting,"at night , iface it everywhere in delhi ,,,cannot spell it","06-11-2013 13:35",1601,"on streets buses",20.429047,80.149403,105,"2 | 6 | 8 | 17","Commenting | Ogling/Facial Expressions/Staring | Touching /Groping | Chain Snatching / Robbery",,441217,,"Dongar Tamasi",Maharashtra,India
1241,Commenting,"people usually pass comments we ignore it","06-11-2013 13:38",1602,mahipalpur,20.429047,80.149403,105,"3 | 6 | 8","Taking pictures | Ogling/Facial Expressions/Staring | Touching /Groping",,441217,,"Dongar Tamasi",Maharashtra,India
1242,Touching,"at night a guy was touching me here nad there .i started shouting on him and he ran away","06-11-2013 13:40",1603,"chawdi bazar metro sation",20.429047,80.149403,105,8,"Touching /Groping",,441217,,"Dongar Tamasi",Maharashtra,India
1243,Commenting,"on evening at gate people are always there commenting and touching.","06-11-2013 13:43",1604,"metro station nehru place",20.429047,80.149403,105,"2 | 8","Commenting | Touching /Groping",,441217,,"Dongar Tamasi",Maharashtra,India
1244,catcalls,"At night, we went to see a movie,after that drunk people and many roadside vendors were commenting ,trying to touch. ANNOYING. we asked a policeman at bus stop.","06-11-2013 13:27",1605,"Vasant Vihar, New Delhi, Delhi, India",28.55739,77.157144,105,"1 | 2 | 6 | 8","Catcalls/Whistles | Commenting | Ogling/Facial Expressions/Staring | Touching /Groping",,110057,"Munirka Vihar","New Delhi",Delhi,India
1245,touching,"in night usually boys try to touch a girls","06-11-2013 13:35",1606,"Sector 21, Shahabad Mohammadpur, New Delhi, Delhi, India",28.555575,77.063642,105,"8 | 10","Touching /Groping | Sexual Invites",,110075,"Sector 21","New Delhi",Delhi,India
1246,commenting,"in night usually suffer from this","06-11-2013 13:37",1607,"R K Puram Sector 7, Sector 7 R K Puram, RamaKrishna Puram, New Delhi, Delhi 110022",28.570561,77.172772,105,2,Commenting,,110022,"Sector 7","New Delhi",Delhi,India
1247,OGLING,"AT NIGHT, GIRLS CAN NOT GO ALONE IN THAT AREA. I WENT ONCE OR TWICE AT NIGHT THERE. HORRIBLE EXPERIENCE.","06-11-2013 13:35",1608,"MARKET, Ward 2 Road, Mehrauli Village, Mehrauli, New Delhi, Delhi 110016, India",28.522809,77.181474,105,"2 | 6 | 8 | 9 | 10","Commenting | Ogling/Facial Expressions/Staring | Touching /Groping | Indecent exposure | Sexual Invites",,110030,"Mehrauli Village","New Delhi",Delhi,India
1248,"chain snatching","in night 2 boys come on the bike and snatched my chain","06-11-2013 13:40",1609,"Munirka, New Delhi, Delhi, India",28.554601,77.172961,105,17,"Chain Snatching / Robbery",,110067,"Baba Gangnath Market","New Delhi",Delhi,India
1249,"TAKING PICTURES","A GUY AROUND 4 PM WAS STANDING AT BUS STOP. I WAS CROSSING ROAD AND STARTED CLICKING PHOTOS. I WENT AND SLAPPED HIM.","06-11-2013 13:40",1610,"Rajokari Crossing, Samalka, New Delhi, Delhi 110037",28.522534,77.098609,105,3,"Taking pictures",,110037,"D Block","New Delhi",Delhi,India
1250,commenting,"in the evening some boys were commenting on a girl","06-11-2013 13:42",1611,"Patel Nagar, New Delhi, Delhi, India",28.650241,77.168647,105,2,Commenting,,110008,"Block 19","New Delhi",Delhi,India
